,K-O,Hi-Lo,Hi-Opt I,Hi-Opt II,Knock-Out,KISS,Zen,Omega II,Red 7,Wizard Ace,Halves,No Strategy
1547,50.3927,49.9906,50.4945,50.3245,50.1506,49.9935,50.1906,50.3187,50.3887,49.7792,50.027,50.8082
1548,50.3836,49.9894,50.506,50.3325,50.147,49.9929,50.1893,50.3073,50.392,49.7811,50.0276,50.803
1549,50.3869,49.9876,50.5021,50.3223,50.1428,49.9847,50.1915,50.3071,50.4058,49.7742,50.0264,50.8072
1550,50.3977,49.9912,50.5006,50.3138,50.1322,49.9841,50.1996,50.3134,50.4015,49.7696,50.0346,50.8096
1551,50.3969,49.9865,50.4997,50.3148,50.1251,49.9794,50.1965,50.3267,50.3942,49.778,50.034,50.8085
1552,50.4054,49.9871,50.5099,50.3246,50.1192,49.9823,50.1941,50.3194,50.3927,49.7893,50.0404,50.8162
1553,50.4063,49.9977,50.5114,50.3273,50.115,49.9788,50.2063,50.3198,50.3925,49.7882,50.0433,50.8033
1554,50.4096,50.0,50.5099,50.3306,50.1173,49.9735,50.2061,50.3126,50.3975,49.7895,50.038,50.8064
1555,50.4029,50.0029,50.5125,50.328,50.116,49.9865,50.2036,50.2995,50.382,49.7873,50.0316,50.8017
1556,50.4096,50.0012,50.5063,50.3237,50.1218,49.9935,50.2023,50.3028,50.3835,49.7898,50.0339,50.7954
1557,50.3995,49.9971,50.5031,50.3229,50.1234,49.9888,50.2139,50.3026,50.3874,49.78,50.0351,50.7937
1558,50.3975,49.9906,50.5097,50.3175,50.1146,49.9959,50.2155,50.2995,50.383,49.7737,50.042,50.7879
1559,50.3873,50.0,50.5059,50.3138,50.1262,49.9924,50.2125,50.2917,50.3857,49.7774,50.0467,50.7874
1560,50.3946,49.9988,50.5108,50.3147,50.1279,49.9994,50.2176,50.2968,50.3726,49.7822,50.0443,50.8127
1561,50.3857,49.9965,50.5233,50.3081,50.1342,50.0059,50.2099,50.3001,50.3747,49.7806,50.0402,50.8028
1562,50.3837,49.9942,50.5236,50.3021,50.1422,50.0053,50.201,50.2976,50.3669,49.7807,50.0472,50.8023
1563,50.3811,49.9895,50.5238,50.3135,50.152,50.0047,50.1968,50.3044,50.3853,49.796,50.0448,50.7948
1564,50.3948,49.9977,50.5334,50.3157,50.1583,49.9942,50.1938,50.3117,50.3728,49.7886,50.0413,50.8012
1565,50.398,49.9977,50.522,50.3085,50.1657,50.0053,50.1931,50.3069,50.3691,49.7916,50.0325,50.7972
1566,50.4041,50.0111,50.5135,50.3147,50.1569,50.0105,50.1964,50.3009,50.3718,49.801,50.025,50.7932
1567,50.4079,50.0093,50.5045,50.3197,50.1608,50.0128,50.2137,50.2961,50.3692,49.8018,50.0163,50.7874
1568,50.4198,50.0105,50.503,50.3096,50.1538,50.014,50.2246,50.2918,50.3742,49.7996,50.0046,50.7811
1569,50.4155,50.0064,50.4917,50.3019,50.1612,50.007,50.2274,50.2992,50.3861,49.8101,50.0087,50.7859
1570,50.4141,50.0012,50.4861,50.2965,50.1519,50.0087,50.229,50.3019,50.3899,49.7992,50.011,50.7842
1571,50.4213,50.0087,50.4743,50.3067,50.1466,49.9983,50.234,50.3115,50.3856,49.7901,49.9994,50.786
1572,50.4251,49.9948,50.4815,50.3141,50.1546,49.9988,50.2414,50.3107,50.3935,49.7948,50.0017,50.7919
1573,50.4369,50.0,50.4869,50.3144,50.1602,50.0099,50.236,50.3082,50.3996,49.7892,50.0058,50.7914
1574,50.4401,49.9948,50.4884,50.3206,50.1618,50.0075,50.2284,50.3231,50.397,49.8032,50.0092,50.7892
1575,50.4398,49.9925,50.4927,50.3239,50.1652,50.0046,50.2433,50.3211,50.3922,49.8161,49.9977,50.7881
1576,50.447,49.9965,50.5051,50.3208,50.1507,50.0041,50.2333,50.3244,50.3844,49.8139,49.9861,50.7823
1577,50.4467,49.9913,50.507,50.324,50.1351,49.9977,50.2343,50.3213,50.3813,49.8209,49.9821,50.783
1578,50.4556,49.9983,50.5177,50.3198,50.1477,49.9867,50.2249,50.3188,50.3891,49.8216,49.9798,50.7912
1579,50.4599,49.9913,50.5116,50.3075,50.1504,49.9826,50.2415,50.3209,50.3831,49.82,49.9775,50.793
1580,50.4619,49.9896,50.5153,50.3113,50.1469,49.9855,50.2482,50.3218,50.3783,49.8109,49.9781,50.7896
1581,50.4657,49.9919,50.5213,50.3071,50.1531,49.996,50.2573,50.3233,50.3855,49.8173,49.9822,50.7891
1582,50.4579,49.9983,50.5244,50.3103,50.157,50.0069,50.2468,50.3134,50.3916,49.8157,49.992,50.7857
1583,50.4576,49.9914,50.5241,50.3124,50.1478,49.9977,50.2489,50.3149,50.3827,49.8049,50.0017,50.7818
1584,50.4505,49.9948,50.5128,50.3105,50.1482,49.989,50.2384,50.3044,50.3767,49.801,49.9931,50.7669
1585,50.4496,49.9943,50.5051,50.3121,50.1562,49.9867,50.2486,50.3128,50.3742,49.7965,50.0006,50.7785
1586,50.4454,49.9908,50.4967,50.3199,50.1561,49.9867,50.2467,50.3177,50.386,49.7955,49.9914,50.774
1587,50.4451,49.9902,50.5004,50.3191,50.156,49.9868,50.2466,50.3141,50.3869,49.7968,49.9989,50.7648
1588,50.4397,49.9966,50.5001,50.3069,50.1496,49.9873,50.2435,50.2984,50.3827,49.8107,50.0023,50.7672
1589,50.4445,50.0006,50.5032,50.3027,50.1535,49.9896,50.2399,50.2971,50.3818,49.8079,50.0063,50.7558
1590,50.4625,50.0023,50.5046,50.3065,50.1534,49.9948,50.2398,50.3049,50.3782,49.8058,50.0143,50.7617
1591,50.4639,49.9983,50.5043,50.3063,50.1533,49.9925,50.2431,50.2927,50.3865,49.8093,50.0337,50.7687
1592,50.4682,50.0086,50.5017,50.3181,50.1515,50.0017,50.2355,50.3034,50.3811,49.8215,50.0309,50.7842
1593,50.4696,50.0103,50.5105,50.3219,50.1491,49.9994,50.2348,50.2872,50.3757,49.821,50.0417,50.7855
1594,50.4761,50.004,50.5165,50.3291,50.1411,49.9966,50.2409,50.2853,50.3801,49.8246,50.0428,50.7959
1595,50.4764,49.9994,50.5207,50.3369,50.1461,49.9989,50.2436,50.2869,50.3793,49.8218,50.0536,50.8005
1596,50.4687,49.9977,50.5215,50.3435,50.1539,49.9966,50.2292,50.2753,50.3813,49.8173,50.0507,50.8086
1597,50.4747,49.996,50.5178,50.3575,50.1533,49.9989,50.2194,50.2751,50.3754,49.8106,50.0507,50.8161
1598,50.4823,49.9909,50.5123,50.3488,50.1611,49.9903,50.2204,50.2789,50.3683,49.8119,50.0484,50.8122
1599,50.4695,49.9852,50.5069,50.352,50.1712,49.9903,50.2214,50.2822,50.3721,49.8017,50.0512,50.8151
1600,50.4573,49.9926,50.5054,50.3444,50.1785,49.9817,50.2099,50.2837,50.3695,49.8064,50.0443,50.8026
1601,50.4502,49.9892,50.4904,50.3566,50.1801,49.9817,50.2075,50.2778,50.371,49.8191,50.0466,50.7907
1602,50.4511,49.9835,50.4821,50.3649,50.18,49.98,50.2079,50.2884,50.3833,49.8203,50.0494,50.7856
1603,50.4373,49.9949,50.4795,50.363,50.1748,49.9755,50.2027,50.2809,50.3717,49.825,50.055,50.7766
1604,50.4308,49.9796,50.4758,50.3634,50.1701,49.9681,50.1997,50.2943,50.372,49.8279,50.0567,50.7739
1605,50.4316,49.9938,50.4772,50.3609,50.1632,49.9795,50.1956,50.2839,50.3661,49.8218,50.0533,50.7711
