,No Strategy
1648,49.9629
1649,49.964
1650,49.9568
1651,49.9613
1652,49.9629
1653,49.9613
1654,49.9591
1655,49.9685
1656,49.9691
1657,49.9757
1658,49.9769
1659,49.9659
1660,49.9752
1661,49.9802
1662,49.9769
1663,49.9703
1664,49.9698
1665,49.9737
1666,49.972
1667,49.9682
1668,49.971
1669,49.9639
1670,49.9683
1671,49.9645
1672,49.971
1673,49.9705
1674,49.9683
1675,49.9629
1676,49.9608
1677,49.9591
1678,49.9477
1679,49.9505
1680,49.9527
1681,49.9462
1682,49.9468
1683,49.9544
1684,49.9555
1685,49.9534
1686,49.9464
1687,49.9491
1688,49.9437
1689,49.9454
1690,49.9454
1691,49.9443
1692,49.9514
1693,49.9617
1694,49.9671
1695,49.9709
1696,49.9677
1697,49.9602
1698,49.9596
1699,49.9543
1700,49.9586
1701,49.9603
1702,49.9549
1703,49.9523
1704,49.9609
1705,49.9593
1706,49.9641
1707,49.9556
1708,49.9556
1709,49.954
1710,49.9557
1711,49.9567
1712,49.9653
1713,49.9664
1714,49.9701
1715,49.9723
1716,49.9622
1717,49.9532
1718,49.9601
1719,49.9612
1720,49.9543
1721,49.9549
1722,49.9491
1723,49.9422
1724,49.9353
1725,49.9317
1726,49.9412
1727,49.9429
1728,49.9455
1729,49.9524
1730,49.963
1731,49.9583
1732,49.9541
1733,49.9462
1734,49.9415
1735,49.9352
1736,49.9347
1737,49.9306
1738,49.9296
1739,49.9317
1740,49.9359
1741,49.936
1742,49.9407
1743,49.9366
1744,49.9261
1745,49.9173
1746,49.9168
1747,49.9174
1748,49.9164
1749,49.9143
1750,49.9238
1751,49.9233
1752,49.9296
1753,49.9244
1754,49.9151
1755,49.9141
1756,49.9152
1757,49.9173
1758,49.921
1759,49.9169
1760,49.9294
1761,49.9409
1762,49.9424
1763,49.944
1764,49.9404
1765,49.9394
1766,49.9405
1767,49.9411
1768,49.9395
1769,49.9329
1770,49.9241
1771,49.9242
1772,49.9149
1773,49.9165
1774,49.9135
1775,49.9207
1776,49.9172
1777,49.9136
1778,49.9173
1779,49.9183
1780,49.9235
1781,49.9231
1782,49.9313
1783,49.9375
1784,49.9309
1785,49.9381
1786,49.9386
1787,49.9305
1788,49.93
1789,49.9316
1790,49.9362
1791,49.926
1792,49.9251
1793,49.9266
1794,49.9211
1795,49.9349
1796,49.9232
1797,49.9242
1798,49.9284
1799,49.9233
1800,49.9295
1801,49.9219
1802,49.9234
1803,49.9301
1804,49.9301
1805,49.9398
1806,49.9439
1807,49.951
1808,49.949
1809,49.9389
1810,49.945
1811,49.9415
1812,49.9461
1813,49.9506
1814,49.9471
1815,49.9547
1816,49.9552
1817,49.9553
1818,49.9729
1819,49.9674
1820,49.9634
1821,49.9659
1822,49.9629
1823,49.9609
1824,49.9514
1825,49.9549
1826,49.956
1827,49.9705
1828,49.9685
1829,49.9685
1830,49.968
1831,49.9676
1832,49.9706
1833,49.9751
1834,49.9706
1835,49.9751
1836,49.9826
1837,49.9831
1838,49.9851
1839,49.9861
1840,49.9791
1841,49.9836
1842,49.9782
1843,49.9802
1844,49.9728
1845,49.9832
1846,49.9856
1847,49.9837
1848,49.9857
1849,49.9901
1850,49.9783
1851,49.9808
1852,49.9808
1853,49.9808
1854,49.9857
1855,49.9847
1856,49.9818
1857,49.9813
1858,49.9774
1859,49.973
1860,49.9769
1861,49.9735
1862,49.972
1863,49.9765
1864,49.9726
1865,49.9824
1866,49.9794
1867,49.9804
1868,49.9775
1869,49.9819
1870,49.9785
1871,49.9834
1872,49.9844
1873,49.981
1874,49.9849
1875,49.9786
1876,49.9791
1877,49.98
1878,49.9757
1879,49.9733
1880,49.9781
1881,49.9786
1882,49.9767
1883,49.9757
1884,49.9772
1885,49.9685
1886,49.9642
1887,49.9647
1888,49.9594
1889,49.9565
1890,49.9401
1891,49.9386
